[2339, 1654]
[paragraph, [185.0, 188.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 224.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 260.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 296.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 332.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 368.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 404.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 440.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 476.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 512.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 548.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 584.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 620.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [185.0, 656.0, 1167.0, 36.0], shoonya_4sY3ESWDXKYAXU, 5753869]
[paragraph, [183.0, 719.0, 1164.0, 36.0], shoonya_1sN84E8TCBHDYJ, 5753869]
[paragraph, [183.0, 755.0, 1164.0, 36.0], shoonya_1sN84E8TCBHDYJ, 5753869]
[paragraph, [183.0, 791.0, 1164.0, 36.0], shoonya_1sN84E8TCBHDYJ, 5753869]
[paragraph, [183.0, 827.0, 1164.0, 36.0], shoonya_1sN84E8TCBHDYJ, 5753869]
[paragraph, [185.0, 905.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [185.0, 941.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [185.0, 977.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [185.0, 1013.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [185.0, 1049.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [185.0, 1085.0, 1164.0, 36.0], fgQ1URVvsj, 5753869]
[paragraph, [184.0, 1175.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1211.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1247.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1283.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1319.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1355.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1391.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1427.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [184.0, 1463.0, 1163.0, 36.0], shoonya_7sEIJ6F6F64QQ4, 5753869]
[paragraph, [182.0, 1523.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1559.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1595.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1631.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1667.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1703.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1739.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1775.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[paragraph, [182.0, 1811.0, 1165.0, 36.0], shoonya_0s72T2OQBG8JLO, 5753869]
[reference, [191.0, 1948.0, 534.0, 36.0], shoonya_3sVTBRO9W0ZJM1, 5753869]
[reference, [191.0, 1984.0, 534.0, 36.0], shoonya_3sVTBRO9W0ZJM1, 5753869]
[reference, [191.0, 2020.0, 534.0, 36.0], shoonya_3sVTBRO9W0ZJM1, 5753869]
