[1725, 1313]
[section-title, [157.0, 144.0, 455.0, 49.5], shoonya_1sYMZ8ZJ5NWTJW, 5771970]
[section-title, [157.0, 193.5, 455.0, 49.5], shoonya_1sYMZ8ZJ5NWTJW, 5771970]
[paragraph, [119.0, 258.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 294.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 330.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 366.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 402.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 438.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[paragraph, [119.0, 474.0, 528.0, 36.0], shoonya_3sH8H80V7YY6K2, 5771970]
[headline, [305.0, 541.0, 192.0, 37.5], 0Iss5KgNV2, 5771970]
[headline, [305.0, 578.5, 192.0, 37.5], 0Iss5KgNV2, 5771970]
[headline, [305.0, 616.0, 192.0, 37.5], 0Iss5KgNV2, 5771970]
[headline, [305.0, 653.5, 192.0, 37.5], 0Iss5KgNV2, 5771970]
[paragraph, [116.0, 717.0, 533.0, 36.0], uNFGvbML2s, 5771970]
[paragraph, [116.0, 753.0, 533.0, 36.0], uNFGvbML2s, 5771970]
[paragraph, [116.0, 789.0, 533.0, 36.0], uNFGvbML2s, 5771970]
[paragraph, [116.0, 825.0, 533.0, 36.0], uNFGvbML2s, 5771970]
[paragraph, [116.0, 861.0, 533.0, 36.0], uNFGvbML2s, 5771970]
[paragraph, [662.0, 907.0, 515.0, 36.0], shoonya_5s9ISM525NHW6W, 5771970]
[paragraph, [662.0, 943.0, 515.0, 36.0], shoonya_5s9ISM525NHW6W, 5771970]
[paragraph, [662.0, 979.0, 515.0, 36.0], shoonya_5s9ISM525NHW6W, 5771970]
[paragraph, [662.0, 1015.0, 515.0, 36.0], shoonya_5s9ISM525NHW6W, 5771970]
[paragraph, [662.0, 1051.0, 515.0, 36.0], shoonya_5s9ISM525NHW6W, 5771970]
[section-title, [216.0, 925.0, 361.0, 49.5], bJhyMp1NeQ, 5771970]
[paragraph, [129.0, 1024.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [129.0, 1060.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [129.0, 1096.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [129.0, 1132.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [129.0, 1168.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [129.0, 1204.0, 521.0, 36.0], Bb0W8sSRq5, 5771970]
[paragraph, [658.0, 1102.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1138.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1174.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1210.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1246.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1282.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1318.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1354.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1390.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1426.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [658.0, 1462.0, 521.0, 36.0], 8VvYkwsOGB, 5771970]
[paragraph, [134.0, 1265.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1301.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1337.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1373.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1409.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1445.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[paragraph, [134.0, 1481.0, 525.0, 36.0], K0RlYOnv34, 5771970]
[folio, [590.0, 1570.0, 132.0, 36.0], DfAZANK6HI, 5771970]
[folio, [75.0, 1662.0, 288.0, 36.0], 8ifTqHL5XW, 5771970]
