[595, 454]
[paragraph, [231.0, 35.0, 198.0, 18.0], 1HSvgkeTdW, 6460026]
[paragraph, [231.0, 53.0, 198.0, 18.0], 1HSvgkeTdW, 6460026]
[paragraph, [24.0, 36.0, 205.0, 18.0], shoonya_0sPKMLOCELKXO1, 6460026]
[paragraph, [24.0, 54.0, 205.0, 18.0], shoonya_0sPKMLOCELKXO1, 6460026]
[paragraph, [24.0, 72.0, 205.0, 18.0], shoonya_0sPKMLOCELKXO1, 6460026]
[paragraph, [24.0, 90.0, 205.0, 18.0], shoonya_0sPKMLOCELKXO1, 6460026]
[paragraph, [230.0, 75.0, 200.0, 18.0], C26fUXQ5sW, 6460026]
[paragraph, [230.0, 93.0, 200.0, 18.0], C26fUXQ5sW, 6460026]
[paragraph, [25.0, 112.0, 202.0, 18.0], ROEnmtJ0Mx, 6460026]
[paragraph, [25.0, 130.0, 202.0, 18.0], ROEnmtJ0Mx, 6460026]
[paragraph, [25.0, 148.0, 202.0, 18.0], ROEnmtJ0Mx, 6460026]
[paragraph, [25.0, 166.0, 202.0, 18.0], ROEnmtJ0Mx, 6460026]
[paragraph, [229.0, 112.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [229.0, 130.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [229.0, 148.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [229.0, 166.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [229.0, 184.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [229.0, 202.0, 201.0, 18.0], a7_RJl7Ptu, 6460026]
[paragraph, [24.0, 189.0, 203.0, 18.0], t6YzyBqMau, 6460026]
[paragraph, [24.0, 207.0, 203.0, 18.0], t6YzyBqMau, 6460026]
[paragraph, [24.0, 225.0, 203.0, 18.0], t6YzyBqMau, 6460026]
[paragraph, [24.0, 243.0, 203.0, 18.0], t6YzyBqMau, 6460026]
[paragraph, [227.0, 231.0, 202.0, 18.0], MTliBdvBJq, 6460026]
[paragraph, [227.0, 249.0, 202.0, 18.0], MTliBdvBJq, 6460026]
[paragraph, [227.0, 267.0, 202.0, 18.0], MTliBdvBJq, 6460026]
[paragraph, [227.0, 285.0, 202.0, 18.0], MTliBdvBJq, 6460026]
[paragraph, [227.0, 303.0, 202.0, 18.0], MTliBdvBJq, 6460026]
[paragraph, [25.0, 270.0, 199.0, 18.0], nMloQ0DXO2, 6460026]
[paragraph, [25.0, 288.0, 199.0, 18.0], nMloQ0DXO2, 6460026]
[paragraph, [25.0, 306.0, 199.0, 18.0], nMloQ0DXO2, 6460026]
[paragraph, [25.0, 324.0, 199.0, 18.0], nMloQ0DXO2, 6460026]
[paragraph, [229.0, 326.0, 202.0, 18.0], u9qspsQusJ, 6460026]
[paragraph, [229.0, 344.0, 202.0, 18.0], u9qspsQusJ, 6460026]
[paragraph, [229.0, 362.0, 202.0, 18.0], u9qspsQusJ, 6460026]
[paragraph, [229.0, 380.0, 202.0, 18.0], u9qspsQusJ, 6460026]
[paragraph, [27.0, 346.0, 201.0, 18.0], lqHhaIIDTk, 6460026]
[paragraph, [27.0, 364.0, 201.0, 18.0], lqHhaIIDTk, 6460026]
[paragraph, [27.0, 382.0, 201.0, 18.0], lqHhaIIDTk, 6460026]
