[872, 605]
[section-title, [250.0, 32.0, 114.0, 30.0], XdczJIG93E, 6456948]
[folio, [39.0, 34.0, 88.0, 18.0], shoonya_0s1IOQT6I871WT, 6456948]
[folio, [39.0, 52.0, 88.0, 18.0], shoonya_0s1IOQT6I871WT, 6456948]
[paragraph, [42.0, 75.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 93.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 111.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 129.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 147.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 165.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 183.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 201.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 219.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 237.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 255.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 273.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 291.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 309.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 327.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 345.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 363.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 381.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 399.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 417.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [42.0, 435.0, 258.0, 18.0], hkyrewU86M, 6456948]
[paragraph, [305.0, 78.0, 255.0, 18.0], GgZUQeP1F_, 6456948]
[paragraph, [305.0, 96.0, 255.0, 18.0], GgZUQeP1F_, 6456948]
[paragraph, [301.0, 111.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
[paragraph, [301.0, 129.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
[paragraph, [301.0, 147.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
[paragraph, [301.0, 165.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
[paragraph, [301.0, 183.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
[paragraph, [301.0, 201.0, 261.0, 18.0], 2Q7aBit0w-, 6456948]
