[2339, 1653]
[paragraph, [444.0, 241.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 277.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 313.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 349.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 385.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 421.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 457.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 493.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 529.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 565.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 601.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 637.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 673.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 709.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 745.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[paragraph, [444.0, 781.0, 827.0, 36.0], shoonya_2sI0IUGAFRPOLO, 5686137]
[reference, [444.0, 833.0, 332.0, 36.0], CuPjtJJy8p, 5686137]
[paragraph, [244.0, 894.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 930.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 966.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 1002.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 1038.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 1074.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 1110.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [244.0, 1146.0, 1160.0, 36.0], shoonya_1s1E1HG41PA30Z, 5686137]
[paragraph, [248.0, 1226.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1262.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1298.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1334.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1370.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1406.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1442.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1478.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1514.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1550.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1586.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1622.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1658.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1694.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1730.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [248.0, 1766.0, 1154.0, 36.0], shoonya_0sHCTLVAOAAJCR, 5686137]
[paragraph, [442.0, 1825.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 1861.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 1897.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 1933.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 1969.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 2005.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
[paragraph, [442.0, 2041.0, 832.0, 36.0], shoonya_3sD5BM6IXL15M5, 5686137]
