[2806, 1983]
[contact-info, [709.0, 293.0, 486.0, 46.5], 1gYadNREUf, 5697459]
[contact-info, [709.0, 339.5, 486.0, 46.5], 1gYadNREUf, 5697459]
[contact-info, [709.0, 386.0, 486.0, 46.5], 1gYadNREUf, 5697459]
[contact-info, [709.0, 432.5, 486.0, 46.5], 1gYadNREUf, 5697459]
[dateline, [1433.0, 468.0, 485.0, 64.5], shoonya_3sYHYHQQF3K6N9, 5697459]
[folio, [172.0, 514.0, 651.0, 46.5], _p7X24Stqt, 5697459]
[paragraph, [166.0, 633.0, 1584.0, 46.5], o4qXlMyUmk, 5697459]
[paragraph, [166.0, 679.5, 1584.0, 46.5], o4qXlMyUmk, 5697459]
[paragraph, [170.0, 814.0, 1581.0, 46.5], D8u37Xuexw, 5697459]
[paragraph, [170.0, 860.5, 1581.0, 46.5], D8u37Xuexw, 5697459]
[paragraph, [170.0, 907.0, 1581.0, 46.5], D8u37Xuexw, 5697459]
[paragraph, [170.0, 953.5, 1581.0, 46.5], D8u37Xuexw, 5697459]
[ordered-list, [173.0, 1088.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1134.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1181.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1227.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1274.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1320.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1367.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1413.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1460.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1506.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1553.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1599.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1646.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1692.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1739.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1785.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1832.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1878.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1925.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 1971.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2018.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2064.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2111.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2157.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2204.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2250.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2297.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2343.5, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
[ordered-list, [173.0, 2390.0, 1581.0, 46.5], shoonya_1sUWY55VBB6YC0, 5697459]
