[789, 571]
[folio, [229.0, 46.0, 117.0, 18.0], shoonya_4sRIJJ8MDBMP3U, 5702553]
[paragraph, [51.0, 88.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 106.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 124.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 142.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 160.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 178.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 196.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 214.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 232.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 250.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 268.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 286.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 304.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 322.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 340.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 358.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 376.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 394.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 412.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 430.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 448.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 466.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 484.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [51.0, 502.0, 463.0, 18.0], shoonya_0s0YMUS82A7S1P, 5702553]
[paragraph, [48.0, 529.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 547.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 565.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 583.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 601.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 619.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 637.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 655.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 673.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 691.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
[paragraph, [48.0, 709.0, 470.0, 18.0], 8KwB4OPsFP, 5702553]
