[3509, 2480]
[paragraph, [339.0, 386.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 438.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 491.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 543.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 596.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 648.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 701.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 753.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 806.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 858.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 911.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 963.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1016.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1068.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1121.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1173.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1226.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1278.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1331.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1383.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1436.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1488.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1541.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1593.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1646.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1698.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1751.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1803.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1856.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1908.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 1961.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2013.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2066.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2118.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2171.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2223.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2276.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2328.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2381.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2433.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2486.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2538.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2591.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2643.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2696.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2748.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2801.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2853.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2906.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 2958.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 3011.0, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
[paragraph, [339.0, 3063.5, 1800.0, 52.5], shoonya_0sULU52TAUYP2N, 5723809]
