[720, 540]
[paragraph, [207.0, 85.0, 192.0, 18.0], Dg6revqKGS, 6495271]
[paragraph, [148.0, 107.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 125.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 143.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 161.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 179.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 197.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 215.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 233.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 251.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 269.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 287.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 305.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 323.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 341.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [148.0, 359.0, 261.0, 18.0], bYjcX7O0iT, 6495271]
[paragraph, [145.0, 394.0, 224.0, 18.0], FLku6ZhlHo, 6495271]
[paragraph, [145.0, 412.0, 224.0, 18.0], FLku6ZhlHo, 6495271]
[paragraph, [145.0, 430.0, 224.0, 18.0], FLku6ZhlHo, 6495271]
[paragraph, [145.0, 448.0, 224.0, 18.0], FLku6ZhlHo, 6495271]
[paragraph, [145.0, 466.0, 224.0, 18.0], FLku6ZhlHo, 6495271]
[paragraph, [148.0, 518.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
[paragraph, [148.0, 536.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
[paragraph, [148.0, 554.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
[paragraph, [148.0, 572.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
[paragraph, [148.0, 590.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
[paragraph, [148.0, 608.0, 206.0, 18.0], 3GatbQWQXy, 6495271]
