[1650, 1275]
[paragraph, [239.0, 174.0, 849.0, 36.0], shoonya_0s1VBYCQ241I46, 6471287]
[paragraph, [239.0, 210.0, 849.0, 36.0], shoonya_0s1VBYCQ241I46, 6471287]
[paragraph, [239.0, 246.0, 849.0, 36.0], shoonya_0s1VBYCQ241I46, 6471287]
[paragraph, [239.0, 312.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 348.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 384.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 420.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 456.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 492.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 528.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 564.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 600.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 636.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 672.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[paragraph, [239.0, 708.0, 869.0, 36.0], 9LCmnq2c0P, 6471287]
[section-title, [244.0, 803.0, 412.0, 49.5], Bgjhnz5l2Q, 6471287]
[paragraph, [243.0, 869.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 905.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 941.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 977.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1013.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1049.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1085.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1121.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1157.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1193.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1229.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1265.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[paragraph, [243.0, 1301.0, 874.0, 36.0], KkEYnkf6Pc, 6471287]
[footnote, [248.0, 1403.0, 783.0, 36.0], O62cZL-stw, 6471287]
[footnote, [248.0, 1439.0, 783.0, 36.0], O62cZL-stw, 6471287]
