[872, 605]
[folio, [34.0, 27.0, 83.0, 18.0], 9YKzgHHzI-, 6456622]
[paragraph, [301.0, 65.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 83.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 101.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 119.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 137.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 155.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 173.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 191.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 209.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 227.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 245.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 263.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 281.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 299.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 317.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 335.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 353.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 371.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 389.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 407.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 425.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 443.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 461.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 479.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 497.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 515.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [301.0, 533.0, 264.0, 18.0], XsY11UOd_d, 6456622]
[paragraph, [36.0, 67.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 85.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 103.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 121.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 139.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 157.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [36.0, 175.0, 266.0, 18.0], shoonya_0sJKN8YYZ5YFI9, 6456622]
[paragraph, [32.0, 194.0, 266.0, 18.0], ij9HXW5112, 6456622]
[paragraph, [32.0, 212.0, 266.0, 18.0], ij9HXW5112, 6456622]
[paragraph, [38.0, 232.0, 262.0, 18.0], RCOyxJGbdE, 6456622]
[paragraph, [38.0, 250.0, 262.0, 18.0], RCOyxJGbdE, 6456622]
