[908, 1276]
[folio, [1137.0, 35.0, 70.0, 18.0], YOgIYowLlA, 5716026]
[folio, [1137.0, 53.0, 70.0, 18.0], YOgIYowLlA, 5716026]
[folio, [677.0, 48.0, 99.0, 18.0], o7f00iwTBE, 5716026]
[folio, [677.0, 66.0, 99.0, 18.0], o7f00iwTBE, 5716026]
[section-title, [83.0, 74.0, 101.0, 30.0], axpwwKl467, 5716026]
[paragraph, [78.0, 120.0, 506.0, 18.0], KjK1tPUdpU, 5716026]
[section-title, [82.0, 183.0, 157.0, 30.0], l6kOBZrs_e, 5716026]
[section-title, [82.0, 213.0, 157.0, 30.0], l6kOBZrs_e, 5716026]
[figure-caption, [300.0, 268.0, 74.0, 18.0], m4hPzIQXBm, 5716026]
[figure-caption, [292.0, 379.0, 91.0, 18.0], Pi7_qchhfQ, 5716026]
[section-title, [72.0, 399.0, 172.0, 30.0], TpxHVrkzbJ, 5716026]
[section-title, [72.0, 429.0, 172.0, 30.0], TpxHVrkzbJ, 5716026]
[section-title, [72.0, 459.0, 172.0, 30.0], TpxHVrkzbJ, 5716026]
[section-title, [687.0, 420.0, 220.0, 30.0], xQPxupNDrw, 5716026]
[section-title, [687.0, 450.0, 220.0, 30.0], xQPxupNDrw, 5716026]
[section-title, [687.0, 480.0, 220.0, 30.0], xQPxupNDrw, 5716026]
[section-title, [687.0, 510.0, 220.0, 30.0], xQPxupNDrw, 5716026]
[folio, [279.0, 550.0, 197.0, 18.0], 9VWeqBjeHD, 5716026]
[folio, [279.0, 568.0, 197.0, 18.0], 9VWeqBjeHD, 5716026]
[folio, [279.0, 586.0, 197.0, 18.0], 9VWeqBjeHD, 5716026]
[unordered-list, [48.0, 655.0, 580.0, 18.0], shoonya_0sFVWSOAVZR3GF, 5716026]
[unordered-list, [48.0, 673.0, 580.0, 18.0], shoonya_0sFVWSOAVZR3GF, 5716026]
[unordered-list, [48.0, 691.0, 580.0, 18.0], shoonya_0sFVWSOAVZR3GF, 5716026]
[contact-info, [175.0, 729.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 747.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 765.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 783.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 801.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 819.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 837.0, 328.0, 18.0], anIs_mAK59, 5716026]
[contact-info, [175.0, 855.0, 328.0, 18.0], anIs_mAK59, 5716026]
