[1241, 798]
[folio, [90.0, 65.0, 133.0, 18.0], shoonya_3s1QNQ81TO3PGB, 5702265]
[paragraph, [89.0, 112.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 130.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 148.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 166.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 184.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 202.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 220.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [89.0, 238.0, 617.0, 18.0], shoonya_4sRL0MG8NS14BB, 5702265]
[paragraph, [87.0, 272.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 290.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 308.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 326.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 344.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 362.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 380.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 398.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 416.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 434.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 452.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 470.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 488.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 506.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 524.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 542.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 560.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 578.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 596.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 614.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [87.0, 632.0, 618.0, 18.0], shoonya_0s8EI7DO19DQMM, 5702265]
[paragraph, [86.0, 672.0, 619.0, 18.0], shoonya_1sIP4IUQ7JB0UX, 5702265]
[paragraph, [86.0, 690.0, 619.0, 18.0], shoonya_1sIP4IUQ7JB0UX, 5702265]
[paragraph, [86.0, 708.0, 619.0, 18.0], shoonya_1sIP4IUQ7JB0UX, 5702265]
[paragraph, [86.0, 726.0, 619.0, 18.0], shoonya_1sIP4IUQ7JB0UX, 5702265]
[paragraph, [86.0, 744.0, 619.0, 18.0], shoonya_1sIP4IUQ7JB0UX, 5702265]
