[668, 446]
[folio, [272.0, 57.0, 132.0, 18.0], JRDKag4Rkv, 6496513]
[paragraph, [45.0, 78.0, 363.0, 18.0], shoonya_0sV2GF4UN63PAH, 6496513]
[paragraph, [45.0, 96.0, 363.0, 18.0], shoonya_0sV2GF4UN63PAH, 6496513]
[paragraph, [45.0, 114.0, 363.0, 18.0], shoonya_0sV2GF4UN63PAH, 6496513]
[paragraph, [45.0, 132.0, 363.0, 18.0], shoonya_0sV2GF4UN63PAH, 6496513]
[paragraph, [49.0, 157.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 175.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 193.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 211.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 229.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 247.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 265.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 283.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 301.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 319.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [49.0, 337.0, 369.0, 18.0], shoonya_1s3PZC0YZLR0L0, 6496513]
[paragraph, [47.0, 365.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 383.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 401.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 419.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 437.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 455.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 473.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 491.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 509.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 527.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 545.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [47.0, 563.0, 369.0, 18.0], PNFUcQLPn0, 6496513]
[paragraph, [77.0, 586.0, 331.0, 18.0], LtA8EQoFto, 6496513]
