[2339, 1653]
[paragraph, [324.0, 163.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 199.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 235.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 271.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 307.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 343.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 379.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 415.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 451.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 487.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 523.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [324.0, 559.0, 1137.0, 36.0], shoonya_2s2CN9X76G8GPJ, 5734433]
[paragraph, [326.0, 609.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 645.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 681.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 717.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 753.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 789.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 825.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 861.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 897.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 933.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 969.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1005.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1041.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1077.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1113.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1149.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1185.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1221.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [326.0, 1257.0, 1133.0, 36.0], shoonya_0s2D0AWTGCAN2S, 5734433]
[paragraph, [328.0, 1330.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1366.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1402.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1438.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1474.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1510.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1546.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1582.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1618.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1654.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1690.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1726.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1762.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1798.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [328.0, 1834.0, 1135.0, 36.0], shoonya_1s6DKJF1S5LOCV, 5734433]
[paragraph, [327.0, 1887.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[paragraph, [327.0, 1923.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[paragraph, [327.0, 1959.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[paragraph, [327.0, 1995.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[paragraph, [327.0, 2031.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[paragraph, [327.0, 2067.0, 1135.0, 36.0], shoonya_3sS6CG6HBTNZ30, 5734433]
[folio, [1170.0, 2163.0, 229.0, 36.0], lmPctS1IDw, 5734433]
