[2339, 1654]
[chapter-title, [255.0, 50.0, 1217.0, 70.5], shoonya_4sJIA8PH4AS2F2, 5751029]
[paragraph, [278.0, 247.0, 1137.0, 36.0], shoonya_5sUB1609I5AVOI, 5751029]
[paragraph, [278.0, 283.0, 1137.0, 36.0], shoonya_5sUB1609I5AVOI, 5751029]
[paragraph, [278.0, 319.0, 1137.0, 36.0], shoonya_5sUB1609I5AVOI, 5751029]
[reference, [991.0, 397.0, 414.0, 36.0], shoonya_0sDFOB1T0UOF52, 5751029]
[paragraph, [133.0, 461.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 497.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 533.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 569.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 605.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 641.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 677.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 713.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 749.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 785.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 821.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 857.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 893.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 929.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 965.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 1001.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [133.0, 1037.0, 1440.0, 36.0], shoonya_1sTSZUC9340OJY, 5751029]
[paragraph, [273.0, 1108.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1144.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1180.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1216.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1252.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1288.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1324.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[paragraph, [273.0, 1360.0, 1145.0, 36.0], shoonya_2sOR0ZPCJDDI55, 5751029]
[reference, [985.0, 1444.0, 423.0, 36.0], shoonya_7sHN00K4551Q16, 5751029]
[paragraph, [135.0, 1516.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1552.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1588.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1624.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1660.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1696.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1732.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1768.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1804.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1840.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1876.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1912.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
[paragraph, [135.0, 1948.0, 1436.0, 36.0], shoonya_3sG0C7IB1G3VBK, 5751029]
