[4767, 3325]
[folio, [340.0, 394.0, 652.0, 52.5], X1TTGRoo3R, 5709916]
[folio, [340.0, 446.5, 652.0, 52.5], X1TTGRoo3R, 5709916]
[quote, [524.0, 539.0, 1210.0, 52.5], at9OIVpqmT, 5709916]
[quote, [524.0, 591.5, 1210.0, 52.5], at9OIVpqmT, 5709916]
[quote, [504.0, 662.0, 2167.0, 52.5], RlhZEA79--, 5709916]
[quote, [504.0, 714.5, 2167.0, 52.5], RlhZEA79--, 5709916]
[quote, [489.0, 786.0, 1053.0, 52.5], tEwZv7ciiP, 5709916]
[quote, [489.0, 838.5, 1053.0, 52.5], tEwZv7ciiP, 5709916]
[paragraph, [257.0, 1043.0, 2409.0, 52.5], hbPYMwyWlh, 5709916]
[paragraph, [257.0, 1095.5, 2409.0, 52.5], hbPYMwyWlh, 5709916]
[paragraph, [257.0, 1148.0, 2409.0, 52.5], hbPYMwyWlh, 5709916]
[paragraph, [257.0, 1200.5, 2409.0, 52.5], hbPYMwyWlh, 5709916]
[quote, [494.0, 1275.0, 1805.0, 52.5], j-ZuSEBcyS, 5709916]
[quote, [494.0, 1327.5, 1805.0, 52.5], j-ZuSEBcyS, 5709916]
[paragraph, [262.0, 1424.0, 2389.0, 52.5], 1YuStw1xH_, 5709916]
[paragraph, [262.0, 1476.5, 2389.0, 52.5], 1YuStw1xH_, 5709916]
[paragraph, [262.0, 1529.0, 2389.0, 52.5], 1YuStw1xH_, 5709916]
[paragraph, [262.0, 1581.5, 2389.0, 52.5], 1YuStw1xH_, 5709916]
[paragraph, [237.0, 1656.0, 2434.0, 52.5], YR3tZhz3EK, 5709916]
[paragraph, [237.0, 1708.5, 2434.0, 52.5], YR3tZhz3EK, 5709916]
[paragraph, [237.0, 1761.0, 2434.0, 52.5], YR3tZhz3EK, 5709916]
[paragraph, [237.0, 1813.5, 2434.0, 52.5], YR3tZhz3EK, 5709916]
[quote, [277.0, 1908.0, 2370.0, 52.5], d9tsRCLNas, 5709916]
[quote, [277.0, 1960.5, 2370.0, 52.5], d9tsRCLNas, 5709916]
[quote, [277.0, 2013.0, 2370.0, 52.5], d9tsRCLNas, 5709916]
[quote, [277.0, 2065.5, 2370.0, 52.5], d9tsRCLNas, 5709916]
[paragraph, [277.0, 2146.0, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2198.5, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2251.0, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2303.5, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2356.0, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2408.5, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [277.0, 2461.0, 2394.0, 52.5], yxQMqIs74K, 5709916]
[paragraph, [282.0, 2517.0, 2370.0, 52.5], 9ZQlpo1Hsk, 5709916]
[paragraph, [282.0, 2569.5, 2370.0, 52.5], 9ZQlpo1Hsk, 5709916]
[paragraph, [282.0, 2622.0, 2370.0, 52.5], 9ZQlpo1Hsk, 5709916]
[paragraph, [282.0, 2674.5, 2370.0, 52.5], 9ZQlpo1Hsk, 5709916]
[paragraph, [286.0, 2764.0, 2394.0, 52.5], CaQD07sIiL, 5709916]
[paragraph, [286.0, 2816.5, 2394.0, 52.5], CaQD07sIiL, 5709916]
[paragraph, [286.0, 2869.0, 2394.0, 52.5], CaQD07sIiL, 5709916]
[paragraph, [286.0, 2921.5, 2394.0, 52.5], CaQD07sIiL, 5709916]
[quote, [252.0, 3001.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3053.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3106.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3158.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3211.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3263.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3316.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3368.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3421.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3473.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3526.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3578.5, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[quote, [252.0, 3631.0, 2449.0, 52.5], lLnfSPaz3p, 5709916]
[paragraph, [277.0, 3718.0, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 3770.5, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 3823.0, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 3875.5, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 3928.0, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 3980.5, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 4033.0, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 4085.5, 2419.0, 52.5], ydd7SrSelf, 5709916]
[paragraph, [277.0, 4138.0, 2419.0, 52.5], ydd7SrSelf, 5709916]
