[4666, 3194]
[paragraph, [498.0, 668.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 720.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 773.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 825.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 878.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 930.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 983.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1035.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1088.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1140.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1193.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1245.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1298.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1350.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1403.0, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [498.0, 1455.5, 2190.0, 52.5], shoonya_1sCHQDB0OVNNB8, 5691743]
[paragraph, [511.0, 1736.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 1788.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 1841.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 1893.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 1946.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 1998.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2051.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2103.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2156.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2208.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2261.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2313.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2366.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2418.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2471.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2523.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2576.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2628.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2681.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2733.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2786.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2838.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2891.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2943.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 2996.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3048.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3101.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3153.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3206.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3258.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3311.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3363.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3416.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3468.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3521.0, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
[paragraph, [511.0, 3573.5, 2169.0, 52.5], shoonya_0sL8JK61GEFQ0H, 5691743]
