[2338, 1654]
[paragraph, [284.0, 181.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 217.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 253.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 289.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 325.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 361.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 397.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 433.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 469.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 505.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 541.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 577.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 613.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 649.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 685.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 721.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 757.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 793.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 829.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 865.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 901.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 937.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 973.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1009.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1045.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1081.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1117.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1153.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1189.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1225.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1261.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1297.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1333.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1369.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1405.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1441.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1477.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1513.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1549.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1585.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1621.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1657.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1693.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [284.0, 1729.0, 1201.0, 36.0], shoonya_0sK52S0DSRAWIU, 5753689]
[paragraph, [290.0, 1773.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1809.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1845.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1881.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1917.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1953.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 1989.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
[paragraph, [290.0, 2025.0, 1194.0, 36.0], shoonya_1sID7PB93CSIWR, 5753689]
