[842, 595]
[folio, [370.0, 127.0, 75.0, 18.0], GNsAPTATic, 6513522]
[folio, [234.0, 129.0, 117.0, 18.0], 1DdaWXFlcD, 6513522]
[paragraph, [132.0, 162.0, 321.0, 18.0], shoonya_3sFNWFDJUZXB2A, 6513522]
[paragraph, [130.0, 193.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [130.0, 211.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [130.0, 229.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [130.0, 247.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [130.0, 265.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [130.0, 283.0, 322.0, 18.0], shoonya_2sHETQ0N9EWYGU, 6513522]
[paragraph, [131.0, 314.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 332.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 350.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 368.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 386.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 404.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 422.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 440.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 458.0, 322.0, 18.0], shoonya_4sX7C43ZMG82FQ, 6513522]
[paragraph, [131.0, 481.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 499.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 517.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 535.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 553.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 571.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 589.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 607.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 625.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
[paragraph, [131.0, 643.0, 321.0, 18.0], shoonya_0sXUG3G5PX67GU, 6513522]
