[975, 571]
[chapter-title, [140.0, 25.0, 281.0, 30.0], moU0U2fkQN, 5775790]
[paragraph, [106.0, 57.0, 335.0, 18.0], shoonya_0s0VG4C2OOYU6X, 5775790]
[paragraph, [106.0, 75.0, 335.0, 18.0], shoonya_0s0VG4C2OOYU6X, 5775790]
[paragraph, [106.0, 93.0, 335.0, 18.0], shoonya_0s0VG4C2OOYU6X, 5775790]
[paragraph, [106.0, 111.0, 335.0, 18.0], shoonya_0s0VG4C2OOYU6X, 5775790]
[paragraph, [108.0, 135.0, 326.0, 18.0], ML8TJP_qW0, 5775790]
[paragraph, [108.0, 153.0, 326.0, 18.0], ML8TJP_qW0, 5775790]
[paragraph, [108.0, 171.0, 326.0, 18.0], ML8TJP_qW0, 5775790]
[paragraph, [107.0, 203.0, 328.0, 18.0], 49UmcS38F7, 5775790]
[paragraph, [107.0, 221.0, 328.0, 18.0], 49UmcS38F7, 5775790]
[paragraph, [107.0, 239.0, 328.0, 18.0], 49UmcS38F7, 5775790]
[paragraph, [105.0, 276.0, 326.0, 18.0], KsOjdSsrve, 5775790]
[paragraph, [105.0, 294.0, 326.0, 18.0], KsOjdSsrve, 5775790]
[paragraph, [105.0, 312.0, 326.0, 18.0], KsOjdSsrve, 5775790]
[paragraph, [103.0, 345.0, 334.0, 18.0], 1kZyAg9-of, 5775790]
[paragraph, [103.0, 363.0, 334.0, 18.0], 1kZyAg9-of, 5775790]
[paragraph, [103.0, 381.0, 334.0, 18.0], 1kZyAg9-of, 5775790]
[paragraph, [102.0, 416.0, 328.0, 18.0], MBPbi_L0Lh, 5775790]
[paragraph, [102.0, 434.0, 328.0, 18.0], MBPbi_L0Lh, 5775790]
[paragraph, [102.0, 452.0, 328.0, 18.0], MBPbi_L0Lh, 5775790]
[paragraph, [103.0, 489.0, 321.0, 18.0], ynayWoNKkw, 5775790]
[paragraph, [103.0, 507.0, 321.0, 18.0], ynayWoNKkw, 5775790]
[paragraph, [103.0, 525.0, 321.0, 18.0], ynayWoNKkw, 5775790]
[paragraph, [101.0, 555.0, 324.0, 18.0], MkHFxYz5PA, 5775790]
[paragraph, [101.0, 573.0, 324.0, 18.0], MkHFxYz5PA, 5775790]
[paragraph, [101.0, 591.0, 324.0, 18.0], MkHFxYz5PA, 5775790]
[paragraph, [101.0, 621.0, 302.0, 18.0], 2ck3HyRpmS, 5775790]
[paragraph, [101.0, 639.0, 302.0, 18.0], 2ck3HyRpmS, 5775790]
[paragraph, [101.0, 657.0, 302.0, 18.0], 2ck3HyRpmS, 5775790]
[paragraph, [97.0, 690.0, 302.0, 18.0], KrCPzWGw8e, 5775790]
[paragraph, [97.0, 708.0, 302.0, 18.0], KrCPzWGw8e, 5775790]
[paragraph, [97.0, 726.0, 302.0, 18.0], KrCPzWGw8e, 5775790]
[paragraph, [93.0, 759.0, 319.0, 18.0], WZGB6gqQUN, 5775790]
[paragraph, [93.0, 777.0, 319.0, 18.0], WZGB6gqQUN, 5775790]
[paragraph, [93.0, 795.0, 319.0, 18.0], WZGB6gqQUN, 5775790]
[paragraph, [96.0, 820.0, 317.0, 18.0], shoonya_2s75ULAAQA767O, 5775790]
[paragraph, [96.0, 838.0, 317.0, 18.0], shoonya_2s75ULAAQA767O, 5775790]
[paragraph, [96.0, 856.0, 317.0, 18.0], shoonya_2s75ULAAQA767O, 5775790]
