[3060, 3960]
[section-title, [89.0, 399.0, 1438.0, 93.0], Wwmsc7h1FW, 5695468]
[section-title, [89.0, 492.0, 1438.0, 93.0], Wwmsc7h1FW, 5695468]
[unordered-list, [184.0, 763.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 815.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 868.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 920.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 973.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1025.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1078.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1130.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1183.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1235.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1288.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1340.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1393.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1445.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1498.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1550.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1603.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1655.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1708.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1760.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1813.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1865.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1918.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 1970.5, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[unordered-list, [184.0, 2023.0, 2047.0, 52.5], UVw4A8TjGz, 5695468]
[folio, [1035.0, 2580.0, 1749.0, 52.5], jWfcvciheK, 5695468]
[folio, [1035.0, 2632.5, 1749.0, 52.5], jWfcvciheK, 5695468]
[folio, [1035.0, 2685.0, 1749.0, 52.5], jWfcvciheK, 5695468]
[folio, [1035.0, 2737.5, 1749.0, 52.5], jWfcvciheK, 5695468]
[folio, [1035.0, 2790.0, 1749.0, 52.5], jWfcvciheK, 5695468]
[folio, [1035.0, 2842.5, 1749.0, 52.5], jWfcvciheK, 5695468]
