[1754, 1241]
[paragraph, [155.0, 126.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 162.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 198.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 234.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 270.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 306.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 342.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 378.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 414.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 450.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 486.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 522.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 558.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 594.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 630.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 666.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 702.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 738.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 774.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 810.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 846.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 882.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 918.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 954.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 990.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1026.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1062.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1098.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1134.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1170.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1206.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1242.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [155.0, 1278.0, 975.0, 36.0], shoonya_0sHRDKN4QKMAVV, 5715127]
[paragraph, [148.0, 1337.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
[paragraph, [148.0, 1373.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
[paragraph, [148.0, 1409.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
[paragraph, [148.0, 1445.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
[paragraph, [148.0, 1481.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
[paragraph, [148.0, 1517.0, 977.0, 36.0], shoonya_1s5RLMLX5HOS1H, 5715127]
