[1162, 749]
[paragraph, [81.0, 116.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 134.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 152.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 170.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 188.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 206.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 224.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 242.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 260.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 278.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 296.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 314.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 332.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [81.0, 350.0, 592.0, 18.0], shoonya_2sYKBAK6KP0K18, 5699948]
[paragraph, [77.0, 373.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 391.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 409.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 427.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 445.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 463.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 481.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 499.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 517.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 535.0, 592.0, 18.0], shoonya_1sA1KF2OTPKGXK, 5699948]
[paragraph, [77.0, 558.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 576.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 594.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 612.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 630.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 648.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 666.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 684.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 702.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 720.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 738.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 756.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 774.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 792.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 810.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 828.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 846.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 864.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 882.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 900.0, 588.0, 18.0], shoonya_0sUH7N92XZJF49, 5699948]
[paragraph, [77.0, 931.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 949.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 967.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 985.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 1003.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 1021.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 1039.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
[paragraph, [77.0, 1057.0, 588.0, 18.0], shoonya_3s8017QFLFUPDP, 5699948]
