[1417, 1057]
[folio, [108.0, 145.0, 271.0, 18.0], jgTi6fijVY, 6469848]
[folio, [108.0, 163.0, 271.0, 18.0], jgTi6fijVY, 6469848]
[folio, [108.0, 181.0, 271.0, 18.0], jgTi6fijVY, 6469848]
[paragraph, [103.0, 262.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 280.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 298.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 316.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 334.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 352.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 370.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 388.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 406.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 424.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 442.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 460.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 478.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [103.0, 496.0, 370.0, 18.0], 0CbPMoyLvt, 6469848]
[paragraph, [111.0, 528.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 546.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 564.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 582.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 600.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 618.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 636.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 654.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 672.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [111.0, 690.0, 360.0, 18.0], GncWSKKmmY, 6469848]
[paragraph, [124.0, 737.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 755.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 773.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 791.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 809.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 827.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 845.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 863.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 881.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 899.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 917.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 935.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 953.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 971.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 989.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 1007.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 1025.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 1043.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 1061.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [124.0, 1079.0, 868.0, 18.0], shoonya_0sVQS3ISP11O8V, 6469848]
[paragraph, [125.0, 1111.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1129.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1147.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1165.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1183.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1201.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1219.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1237.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1255.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1273.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[paragraph, [125.0, 1291.0, 879.0, 18.0], ITKPD1nvJ7, 6469848]
[folio, [709.0, 1316.0, 291.0, 18.0], FVoXFomLwo, 6469848]
