[842, 595]
[reference, [46.0, 56.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 74.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 92.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 110.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 128.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 146.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 164.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 182.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 200.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 218.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 236.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 254.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 272.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 290.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 308.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 326.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 344.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[reference, [46.0, 362.0, 517.0, 18.0], bLpTfA2WZ6, 5766028]
[unordered-list, [56.0, 418.0, 501.0, 18.0], eA3lzLqCM5, 5766028]
[unordered-list, [56.0, 436.0, 501.0, 18.0], eA3lzLqCM5, 5766028]
[unordered-list, [51.0, 487.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 505.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 523.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 541.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 559.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 577.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 595.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 613.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 631.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 649.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 667.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 685.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 703.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 721.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 739.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
[unordered-list, [51.0, 757.0, 518.0, 18.0], shoonya_0sQZNYGEAST6KE, 5766028]
