[872, 605]
[folio, [455.0, 31.0, 99.0, 18.0], fDiqfkfob4, 6457221]
[folio, [455.0, 49.0, 99.0, 18.0], fDiqfkfob4, 6457221]
[paragraph, [330.0, 74.0, 213.0, 18.0], kDO3EmAvoE, 6457221]
[paragraph, [330.0, 92.0, 213.0, 18.0], kDO3EmAvoE, 6457221]
[paragraph, [330.0, 110.0, 213.0, 18.0], kDO3EmAvoE, 6457221]
[paragraph, [330.0, 128.0, 213.0, 18.0], kDO3EmAvoE, 6457221]
[paragraph, [49.0, 75.0, 245.0, 18.0], 8cSM1o8SBb, 6457221]
[paragraph, [61.0, 97.0, 197.0, 18.0], _BlYa3wIjQ, 6457221]
[paragraph, [50.0, 119.0, 246.0, 18.0], LrI3yQgPJS, 6457221]
[paragraph, [50.0, 137.0, 246.0, 18.0], LrI3yQgPJS, 6457221]
[paragraph, [304.0, 151.0, 249.0, 18.0], ThHgV7aXl5, 6457221]
[paragraph, [304.0, 169.0, 249.0, 18.0], ThHgV7aXl5, 6457221]
[paragraph, [304.0, 187.0, 249.0, 18.0], ThHgV7aXl5, 6457221]
[paragraph, [50.0, 161.0, 251.0, 18.0], w-bJETj-hm, 6457221]
[paragraph, [50.0, 179.0, 251.0, 18.0], w-bJETj-hm, 6457221]
[paragraph, [47.0, 198.0, 252.0, 18.0], O-f4sZQyEk, 6457221]
[paragraph, [47.0, 216.0, 252.0, 18.0], O-f4sZQyEk, 6457221]
[paragraph, [329.0, 205.0, 200.0, 18.0], OmrgT67ewR, 6457221]
[paragraph, [329.0, 223.0, 200.0, 18.0], OmrgT67ewR, 6457221]
[paragraph, [329.0, 241.0, 200.0, 18.0], OmrgT67ewR, 6457221]
[paragraph, [329.0, 259.0, 200.0, 18.0], OmrgT67ewR, 6457221]
[paragraph, [51.0, 238.0, 246.0, 18.0], IOqLprhuPi, 6457221]
[paragraph, [51.0, 256.0, 246.0, 18.0], IOqLprhuPi, 6457221]
[paragraph, [48.0, 275.0, 252.0, 18.0], 27vhgZutrR, 6457221]
[paragraph, [300.0, 286.0, 250.0, 18.0], ItoeR83pLL, 6457221]
[paragraph, [300.0, 304.0, 250.0, 18.0], ItoeR83pLL, 6457221]
[paragraph, [300.0, 322.0, 250.0, 18.0], ItoeR83pLL, 6457221]
[paragraph, [300.0, 340.0, 250.0, 18.0], ItoeR83pLL, 6457221]
[paragraph, [61.0, 299.0, 207.0, 18.0], 6dOlUgeC5J, 6457221]
[paragraph, [76.0, 323.0, 200.0, 18.0], izMFKoE9eH, 6457221]
[paragraph, [76.0, 341.0, 200.0, 18.0], izMFKoE9eH, 6457221]
[paragraph, [76.0, 359.0, 200.0, 18.0], izMFKoE9eH, 6457221]
[paragraph, [76.0, 377.0, 200.0, 18.0], izMFKoE9eH, 6457221]
[paragraph, [326.0, 357.0, 221.0, 18.0], NnAU5UW9jE, 6457221]
[paragraph, [326.0, 375.0, 221.0, 18.0], NnAU5UW9jE, 6457221]
[paragraph, [326.0, 393.0, 221.0, 18.0], NnAU5UW9jE, 6457221]
[paragraph, [326.0, 411.0, 221.0, 18.0], NnAU5UW9jE, 6457221]
[paragraph, [78.0, 391.0, 181.0, 18.0], YzvZVhlJeN, 6457221]
[paragraph, [78.0, 409.0, 181.0, 18.0], YzvZVhlJeN, 6457221]
[paragraph, [78.0, 427.0, 181.0, 18.0], YzvZVhlJeN, 6457221]
[paragraph, [78.0, 445.0, 181.0, 18.0], YzvZVhlJeN, 6457221]
[paragraph, [302.0, 434.0, 248.0, 18.0], UK21FxLK0F, 6457221]
[paragraph, [302.0, 452.0, 248.0, 18.0], UK21FxLK0F, 6457221]
[paragraph, [47.0, 463.0, 255.0, 18.0], ICrImGGkko, 6457221]
[paragraph, [47.0, 481.0, 255.0, 18.0], ICrImGGkko, 6457221]
[paragraph, [47.0, 499.0, 255.0, 18.0], ICrImGGkko, 6457221]
[paragraph, [47.0, 517.0, 255.0, 18.0], ICrImGGkko, 6457221]
[paragraph, [325.0, 472.0, 217.0, 18.0], -eXYje0ZPr, 6457221]
[paragraph, [325.0, 490.0, 217.0, 18.0], -eXYje0ZPr, 6457221]
[paragraph, [325.0, 508.0, 217.0, 18.0], -eXYje0ZPr, 6457221]
[paragraph, [325.0, 526.0, 217.0, 18.0], -eXYje0ZPr, 6457221]
[paragraph, [81.0, 538.0, 222.0, 18.0], Lj9wUDAJ_e, 6457221]
[paragraph, [81.0, 556.0, 222.0, 18.0], Lj9wUDAJ_e, 6457221]
[paragraph, [81.0, 574.0, 222.0, 18.0], Lj9wUDAJ_e, 6457221]
[paragraph, [81.0, 592.0, 222.0, 18.0], Lj9wUDAJ_e, 6457221]
[paragraph, [301.0, 547.0, 248.0, 18.0], NdaBeiBrS8, 6457221]
[paragraph, [301.0, 565.0, 248.0, 18.0], NdaBeiBrS8, 6457221]
[paragraph, [333.0, 586.0, 214.0, 18.0], bjgoBkMVZI, 6457221]
[paragraph, [333.0, 604.0, 214.0, 18.0], bjgoBkMVZI, 6457221]
[paragraph, [333.0, 622.0, 214.0, 18.0], bjgoBkMVZI, 6457221]
[paragraph, [333.0, 640.0, 214.0, 18.0], bjgoBkMVZI, 6457221]
[paragraph, [50.0, 608.0, 252.0, 18.0], Nn9WFZAGCV, 6457221]
[paragraph, [50.0, 626.0, 252.0, 18.0], Nn9WFZAGCV, 6457221]
[paragraph, [50.0, 644.0, 252.0, 18.0], Nn9WFZAGCV, 6457221]
