[690, 512]
[folio, [200.0, 40.0, 94.0, 18.0], 7Yqf4urR16, 6491961]
[paragraph, [256.0, 64.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 82.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 100.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 118.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 136.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 154.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 172.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 190.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [256.0, 208.0, 211.0, 18.0], TnuaHiwyWT, 6491961]
[paragraph, [27.0, 65.0, 212.0, 18.0], B9Fp0nACtz, 6491961]
[paragraph, [27.0, 83.0, 212.0, 18.0], B9Fp0nACtz, 6491961]
[paragraph, [27.0, 101.0, 212.0, 18.0], B9Fp0nACtz, 6491961]
[paragraph, [24.0, 129.0, 219.0, 18.0], G673WkKLUl, 6491961]
[paragraph, [28.0, 160.0, 214.0, 18.0], iqUHRdAqBM, 6491961]
[paragraph, [28.0, 195.0, 218.0, 18.0], pw0ylE3tca, 6491961]
[paragraph, [22.0, 225.0, 221.0, 18.0], l2eDufzVsn, 6491961]
[paragraph, [250.0, 243.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 261.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 279.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 297.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 315.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 333.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 351.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [250.0, 369.0, 216.0, 18.0], cDlLarjYIn, 6491961]
[paragraph, [28.0, 260.0, 210.0, 18.0], eKheyqTLJ_, 6491961]
[paragraph, [26.0, 291.0, 210.0, 18.0], w6FV5n5DuA, 6491961]
[paragraph, [26.0, 309.0, 210.0, 18.0], w6FV5n5DuA, 6491961]
[paragraph, [26.0, 327.0, 210.0, 18.0], w6FV5n5DuA, 6491961]
[paragraph, [26.0, 345.0, 210.0, 18.0], w6FV5n5DuA, 6491961]
[paragraph, [26.0, 363.0, 210.0, 18.0], w6FV5n5DuA, 6491961]
[paragraph, [26.0, 387.0, 213.0, 18.0], EE-ZxD67TP, 6491961]
[paragraph, [26.0, 405.0, 213.0, 18.0], EE-ZxD67TP, 6491961]
[paragraph, [251.0, 403.0, 214.0, 18.0], q9KYoizPJD, 6491961]
[paragraph, [251.0, 421.0, 214.0, 18.0], q9KYoizPJD, 6491961]
[paragraph, [251.0, 439.0, 214.0, 18.0], q9KYoizPJD, 6491961]
[paragraph, [251.0, 457.0, 214.0, 18.0], q9KYoizPJD, 6491961]
[paragraph, [251.0, 475.0, 214.0, 18.0], q9KYoizPJD, 6491961]
[paragraph, [25.0, 433.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 451.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 469.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 487.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 505.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 523.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 541.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 559.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 577.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 595.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [25.0, 613.0, 216.0, 18.0], cul_EY_9c2, 6491961]
[paragraph, [254.0, 499.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 517.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 535.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 553.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 571.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 589.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
[paragraph, [254.0, 607.0, 211.0, 18.0], WeeZOmF7dQ, 6491961]
