[821, 612]
[folio, [260.0, 133.0, 122.0, 18.0], GZczZFZoPI, 6460085]
[paragraph, [166.0, 172.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 190.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 208.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 226.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 244.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 262.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 280.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 298.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 316.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 334.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 352.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 370.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 388.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 406.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 424.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 442.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 460.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 478.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 496.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 514.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 532.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 550.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 568.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 586.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 604.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 622.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 640.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
[paragraph, [166.0, 658.0, 314.0, 18.0], shoonya_0sKTJZSWS0M76F, 6460085]
