[975, 571]
[section-title, [21.0, 138.0, 533.0, 30.0], shoonya_0sZG363K2SR2ZT, 5776675]
[section-title, [21.0, 168.0, 533.0, 30.0], shoonya_0sZG363K2SR2ZT, 5776675]
[section-title, [21.0, 198.0, 533.0, 30.0], shoonya_0sZG363K2SR2ZT, 5776675]
[paragraph, [18.0, 252.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 270.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 288.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 306.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 324.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 342.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 360.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 378.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 396.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 414.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 432.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 450.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 468.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 486.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 504.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 522.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 540.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 558.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 576.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 594.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 612.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 630.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 648.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 666.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 684.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 702.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 720.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 738.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 756.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 774.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 792.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 810.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 828.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
[paragraph, [18.0, 846.0, 532.0, 18.0], 8ZyNkR1h3x, 5776675]
