[2339, 1654]
[paragraph, [184.0, 245.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 281.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 317.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 353.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 389.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 425.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 461.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 497.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 533.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 569.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 605.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 641.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 677.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 713.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 749.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 785.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 821.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 857.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 893.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 929.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 965.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 1001.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 1037.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 1073.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 1109.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [184.0, 1145.0, 1286.0, 36.0], shoonya_1s01GVDSN9B270, 5686167]
[paragraph, [181.0, 1249.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1285.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1321.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1357.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1393.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1429.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1465.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1501.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1537.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1573.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1609.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1645.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1681.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1717.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
[paragraph, [181.0, 1753.0, 1283.0, 36.0], shoonya_0sL3HZJ4TANH8F, 5686167]
