[2339, 1654]
[section-title, [190.0, 255.0, 147.0, 52.5], shoonya_3s7TF1ZBNWXVDY, 5686792]
[paragraph, [187.0, 372.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 408.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 444.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 480.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 516.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 552.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 588.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 624.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 660.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 696.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 732.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[paragraph, [187.0, 768.0, 1279.0, 36.0], shoonya_1s9DGO4PMXUJT0, 5686792]
[section-title, [191.0, 893.0, 174.0, 52.5], shoonya_7sGXKYTDLSPEFB, 5686792]
[paragraph, [187.0, 1014.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1050.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1086.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1122.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1158.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1194.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1230.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1266.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [187.0, 1302.0, 1282.0, 36.0], shoonya_0sDQU82SOUO9B4, 5686792]
[paragraph, [186.0, 1552.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1588.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1624.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1660.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1696.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1732.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[paragraph, [186.0, 1768.0, 1282.0, 36.0], shoonya_5sOJ5P4K8J1CJC, 5686792]
[reference, [192.0, 1977.0, 828.0, 36.0], shoonya_2s1NA66QX05I8I, 5686792]
[reference, [192.0, 2013.0, 828.0, 36.0], shoonya_2s1NA66QX05I8I, 5686792]
[reference, [192.0, 2049.0, 828.0, 36.0], shoonya_2s1NA66QX05I8I, 5686792]
