[1037, 698]
[ordered-list, [59.0, 117.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 135.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 153.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 171.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 189.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 207.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 225.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 243.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 261.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 279.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 297.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 315.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 333.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 351.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 369.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 387.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 405.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 423.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 441.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 459.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 477.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 495.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 513.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 531.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 549.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 567.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 585.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 603.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 621.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 639.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 657.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 675.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 693.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 711.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 729.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 747.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 765.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 783.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 801.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 819.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 837.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 855.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 873.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 891.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
[ordered-list, [59.0, 909.0, 574.0, 18.0], gdYhHx-iXJ, 5772831]
