[842, 596]
[answer, [47.0, 109.0, 494.0, 18.0], Ah-nijE9yj, 5690171]
[answer, [47.0, 127.0, 494.0, 18.0], Ah-nijE9yj, 5690171]
[answer, [47.0, 145.0, 494.0, 18.0], Ah-nijE9yj, 5690171]
[answer, [47.0, 163.0, 494.0, 18.0], Ah-nijE9yj, 5690171]
[subsub-section-title, [84.0, 245.0, 52.0, 15.0], oPT7Nr0dwV, 5690171]
[paragraph, [45.0, 279.0, 494.0, 18.0], GDNjBgTo0f, 5690171]
[paragraph, [45.0, 297.0, 494.0, 18.0], GDNjBgTo0f, 5690171]
[paragraph, [45.0, 315.0, 494.0, 18.0], GDNjBgTo0f, 5690171]
[paragraph, [45.0, 333.0, 494.0, 18.0], GDNjBgTo0f, 5690171]
[answer, [47.0, 382.0, 490.0, 18.0], 41yTyucMoX, 5690171]
[answer, [85.0, 463.0, 425.0, 18.0], Fqaq7JBmBO, 5690171]
[answer, [85.0, 481.0, 425.0, 18.0], Fqaq7JBmBO, 5690171]
[answer, [117.0, 567.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 585.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 603.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 621.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 639.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 657.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 675.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
[answer, [117.0, 693.0, 414.0, 18.0], NxqXuEi7Tp, 5690171]
