[1754, 1241]
[section-title, [204.0, 142.0, 837.0, 49.5], fWuVqcvBYF, 5708482]
[paragraph, [142.0, 242.0, 968.0, 36.0], shoonya_2sVLJWQHO25NO7, 5708482]
[paragraph, [142.0, 278.0, 968.0, 36.0], shoonya_2sVLJWQHO25NO7, 5708482]
[paragraph, [142.0, 314.0, 968.0, 36.0], shoonya_2sVLJWQHO25NO7, 5708482]
[paragraph, [140.0, 368.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 404.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 440.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 476.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 512.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 548.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 584.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 620.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 656.0, 954.0, 36.0], shoonya_0sMNUGJHJJZSA9, 5708482]
[paragraph, [140.0, 733.0, 957.0, 36.0], shoonya_1sQBLECN23HHIN, 5708482]
[paragraph, [140.0, 769.0, 957.0, 36.0], shoonya_1sQBLECN23HHIN, 5708482]
[paragraph, [140.0, 805.0, 957.0, 36.0], shoonya_1sQBLECN23HHIN, 5708482]
[paragraph, [140.0, 841.0, 957.0, 36.0], shoonya_1sQBLECN23HHIN, 5708482]
[ordered-list, [185.0, 892.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 928.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 964.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1000.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1036.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1072.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1108.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1144.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1180.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
[ordered-list, [185.0, 1216.0, 499.0, 36.0], shoonya_4sV97R0FRQ9MMV, 5708482]
