[2339, 1653]
[paragraph, [249.0, 247.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [249.0, 283.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [249.0, 319.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [249.0, 355.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [249.0, 391.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [249.0, 427.0, 1157.0, 36.0], shoonya_1sW6VS519PJ6PB, 5686801]
[paragraph, [251.0, 509.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 545.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 581.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 617.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 653.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 689.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 725.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 761.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 797.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 833.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 869.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 905.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 941.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 977.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 1013.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 1049.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 1085.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [251.0, 1121.0, 1156.0, 36.0], shoonya_0sQS9YQHJ696D9, 5686801]
[paragraph, [250.0, 1173.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1209.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1245.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1281.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1317.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1353.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1389.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1425.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1461.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1497.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1533.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1569.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1605.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1641.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1677.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1713.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1749.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1785.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1821.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1857.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1893.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1929.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 1965.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 2001.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 2037.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
[paragraph, [250.0, 2073.0, 1161.0, 36.0], shoonya_2sV6JW47AUGG1O, 5686801]
