[515, 727]
[paragraph, [431.0, 64.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 82.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 100.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 118.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 136.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 154.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 172.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 190.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 208.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 226.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 244.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 262.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 280.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 298.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 316.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [431.0, 334.0, 223.0, 18.0], 7co0NOmI2O, 6532527]
[paragraph, [142.0, 80.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 98.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 116.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 134.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 152.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 170.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 188.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 206.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 224.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 242.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 260.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 278.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 296.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 314.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 332.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[paragraph, [142.0, 350.0, 216.0, 18.0], shoonya_0sRF4BYXIHHP1J, 6532527]
[footnote, [117.0, 396.0, 268.0, 18.0], qJvqbwv8Wi, 6532527]
[footnote, [117.0, 414.0, 268.0, 18.0], qJvqbwv8Wi, 6532527]
[footnote, [117.0, 432.0, 268.0, 18.0], qJvqbwv8Wi, 6532527]
[footnote, [117.0, 450.0, 268.0, 18.0], qJvqbwv8Wi, 6532527]
[footnote, [407.0, 397.0, 269.0, 18.0], vIe0TbGKHS, 6532527]
[footnote, [407.0, 415.0, 269.0, 18.0], vIe0TbGKHS, 6532527]
[footnote, [407.0, 433.0, 269.0, 18.0], vIe0TbGKHS, 6532527]
