[2040, 1320]
[paragraph, [115.0, 220.0, 985.0, 36.0], shoonya_0sMHHAOV1THMEI, 5691527]
[paragraph, [115.0, 256.0, 985.0, 36.0], shoonya_0sMHHAOV1THMEI, 5691527]
[paragraph, [115.0, 292.0, 985.0, 36.0], shoonya_0sMHHAOV1THMEI, 5691527]
[paragraph, [115.0, 328.0, 985.0, 36.0], shoonya_0sMHHAOV1THMEI, 5691527]
[paragraph, [110.0, 381.0, 987.0, 36.0], shoonya_3sJ0S1U9H8RZ8O, 5691527]
[paragraph, [110.0, 417.0, 987.0, 36.0], shoonya_3sJ0S1U9H8RZ8O, 5691527]
[paragraph, [110.0, 453.0, 987.0, 36.0], shoonya_3sJ0S1U9H8RZ8O, 5691527]
[paragraph, [110.0, 489.0, 987.0, 36.0], shoonya_3sJ0S1U9H8RZ8O, 5691527]
[paragraph, [110.0, 525.0, 987.0, 36.0], shoonya_3sJ0S1U9H8RZ8O, 5691527]
[paragraph, [97.0, 583.0, 980.0, 36.0], shoonya_1sUT8PU4Y7RBK8, 5691527]
[paragraph, [105.0, 637.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 673.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 709.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 745.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 781.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 817.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 853.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 889.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 925.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 961.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 997.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 1033.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 1069.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [105.0, 1105.0, 1006.0, 36.0], corJmLcmZ3, 5691527]
[paragraph, [107.0, 1147.0, 1014.0, 36.0], UWDcdJZB7F, 5691527]
[paragraph, [107.0, 1183.0, 1014.0, 36.0], UWDcdJZB7F, 5691527]
[paragraph, [108.0, 1247.0, 1011.0, 36.0], 8O-UFGqP1x, 5691527]
[paragraph, [108.0, 1283.0, 1011.0, 36.0], 8O-UFGqP1x, 5691527]
[paragraph, [105.0, 1349.0, 984.0, 36.0], shoonya_4sPC5FXJHYWRD1, 5691527]
[paragraph, [105.0, 1385.0, 984.0, 36.0], shoonya_4sPC5FXJHYWRD1, 5691527]
[paragraph, [105.0, 1421.0, 984.0, 36.0], shoonya_4sPC5FXJHYWRD1, 5691527]
[paragraph, [105.0, 1457.0, 984.0, 36.0], shoonya_4sPC5FXJHYWRD1, 5691527]
[paragraph, [110.0, 1506.0, 989.0, 36.0], Rljj_lx3lR, 5691527]
[paragraph, [110.0, 1542.0, 989.0, 36.0], Rljj_lx3lR, 5691527]
[paragraph, [118.0, 1605.0, 989.0, 36.0], rEN_IiHX3C, 5691527]
[paragraph, [118.0, 1641.0, 989.0, 36.0], rEN_IiHX3C, 5691527]
[paragraph, [118.0, 1677.0, 989.0, 36.0], rEN_IiHX3C, 5691527]
[paragraph, [118.0, 1713.0, 989.0, 36.0], rEN_IiHX3C, 5691527]
[paragraph, [118.0, 1749.0, 989.0, 36.0], rEN_IiHX3C, 5691527]
[folio, [858.0, 1856.0, 189.0, 36.0], U4ndaI9kyt, 5691527]
