[3509, 2482]
[folio, [896.0, 220.0, 459.0, 52.5], 2MwuUAKwfd, 5692009]
[folio, [896.0, 272.5, 459.0, 52.5], 2MwuUAKwfd, 5692009]
[paragraph, [223.0, 351.0, 1783.0, 52.5], WZNtAK8C4i, 5692009]
[paragraph, [223.0, 403.5, 1783.0, 52.5], WZNtAK8C4i, 5692009]
[paragraph, [223.0, 456.0, 1783.0, 52.5], WZNtAK8C4i, 5692009]
[paragraph, [223.0, 508.5, 1783.0, 52.5], WZNtAK8C4i, 5692009]
[paragraph, [223.0, 561.0, 1783.0, 52.5], WZNtAK8C4i, 5692009]
[paragraph, [155.0, 632.0, 1844.0, 52.5], yoo4HLB_k9, 5692009]
[paragraph, [155.0, 684.5, 1844.0, 52.5], yoo4HLB_k9, 5692009]
[paragraph, [155.0, 737.0, 1844.0, 52.5], yoo4HLB_k9, 5692009]
[paragraph, [155.0, 789.5, 1844.0, 52.5], yoo4HLB_k9, 5692009]
[paragraph, [155.0, 842.0, 1844.0, 52.5], yoo4HLB_k9, 5692009]
[paragraph, [139.0, 893.0, 1886.0, 52.5], zMHy8PUPkg, 5692009]
[paragraph, [139.0, 945.5, 1886.0, 52.5], zMHy8PUPkg, 5692009]
[paragraph, [139.0, 998.0, 1886.0, 52.5], zMHy8PUPkg, 5692009]
[paragraph, [139.0, 1050.5, 1886.0, 52.5], zMHy8PUPkg, 5692009]
[paragraph, [139.0, 1103.0, 1886.0, 52.5], zMHy8PUPkg, 5692009]
[paragraph, [120.0, 1160.0, 1904.0, 52.5], Xmg6w1VJes, 5692009]
[paragraph, [120.0, 1212.5, 1904.0, 52.5], Xmg6w1VJes, 5692009]
[paragraph, [120.0, 1265.0, 1904.0, 52.5], Xmg6w1VJes, 5692009]
[paragraph, [120.0, 1317.5, 1904.0, 52.5], Xmg6w1VJes, 5692009]
[paragraph, [120.0, 1370.0, 1904.0, 52.5], Xmg6w1VJes, 5692009]
[paragraph, [201.0, 1424.0, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1476.5, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1529.0, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1581.5, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1634.0, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1686.5, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1739.0, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [201.0, 1791.5, 1801.0, 52.5], GIxCGCJzTz, 5692009]
[paragraph, [211.0, 1849.0, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 1901.5, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 1954.0, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2006.5, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2059.0, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2111.5, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2164.0, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2216.5, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2269.0, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [211.0, 2321.5, 1781.0, 52.5], _vlIai5Lxy, 5692009]
[paragraph, [209.0, 2388.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2440.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2493.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2545.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2598.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2650.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2703.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2755.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2808.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2860.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2913.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 2965.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 3018.0, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[paragraph, [209.0, 3070.5, 1785.0, 52.5], shoonya_0sRNEU6L43W3QW, 5692009]
[footnote, [164.0, 3146.0, 1830.0, 52.5], MWGzBMakpm, 5692009]
[footnote, [164.0, 3198.5, 1830.0, 52.5], MWGzBMakpm, 5692009]
[footnote, [164.0, 3251.0, 1830.0, 52.5], MWGzBMakpm, 5692009]
