[1650, 1275]
[paragraph, [143.0, 150.0, 985.0, 36.0], shoonya_2sSF843V5LMA9G, 5703500]
[paragraph, [143.0, 186.0, 985.0, 36.0], shoonya_2sSF843V5LMA9G, 5703500]
[paragraph, [142.0, 301.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 337.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 373.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 409.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 445.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 481.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 517.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 553.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 589.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 625.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 661.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 697.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 733.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 769.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 805.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 841.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 877.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 913.0, 993.0, 36.0], shoonya_1sQ52HOJILDF1Z, 5703500]
[paragraph, [142.0, 1013.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1049.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1085.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1121.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1157.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1193.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1229.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1265.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1301.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1337.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
[paragraph, [142.0, 1373.0, 991.0, 36.0], shoonya_0s54V8P6KPBT4A, 5703500]
