[1606, 1006]
[folio, [731.0, 50.0, 200.0, 36.0], 3xx5xYvIp6, 5751378]
[paragraph, [37.0, 118.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 154.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 190.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 226.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 262.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 298.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 334.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 370.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 406.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 442.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [37.0, 478.0, 882.0, 36.0], shoonya_0s5YOW5ICLVK05, 5751378]
[paragraph, [39.0, 605.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 641.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 677.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 713.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 749.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 785.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 821.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 857.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 893.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 929.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 965.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 1001.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 1037.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [39.0, 1073.0, 877.0, 36.0], shoonya_1sB2YOD4UFY3VO, 5751378]
[paragraph, [23.0, 1124.0, 901.0, 36.0], xPCOXmcfu_, 5751378]
[paragraph, [23.0, 1160.0, 901.0, 36.0], xPCOXmcfu_, 5751378]
[paragraph, [23.0, 1196.0, 901.0, 36.0], xPCOXmcfu_, 5751378]
[paragraph, [23.0, 1232.0, 901.0, 36.0], xPCOXmcfu_, 5751378]
[paragraph, [23.0, 1268.0, 901.0, 36.0], xPCOXmcfu_, 5751378]
[paragraph, [40.0, 1341.0, 879.0, 36.0], Wy3yGLAZwH, 5751378]
[paragraph, [40.0, 1377.0, 879.0, 36.0], Wy3yGLAZwH, 5751378]
