[2363, 1655]
[folio, [974.0, 111.0, 494.0, 36.0], xjCJGFMyKM, 5721127]
[paragraph, [188.0, 211.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 247.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 283.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 319.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 355.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 391.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 427.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 463.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 499.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 535.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 571.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 607.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 643.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 679.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 715.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 751.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 787.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 823.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 859.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 895.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 931.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 967.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1003.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1039.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1075.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1111.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1147.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1183.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1219.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1255.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1291.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1327.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1363.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1399.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [188.0, 1435.0, 1288.0, 36.0], shoonya_1sK6L0T64Q8XVG, 5721127]
[paragraph, [192.0, 1498.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1534.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1570.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1606.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1642.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1678.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1714.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1750.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1786.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1822.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1858.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [192.0, 1894.0, 1272.0, 36.0], mAfDHExms3, 5721127]
[paragraph, [194.0, 1959.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 1995.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 2031.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 2067.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 2103.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 2139.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
[paragraph, [194.0, 2175.0, 1272.0, 36.0], iVPVUFqWq0, 5721127]
