[3508, 2481]
[contact-info, [558.0, 77.0, 1375.0, 52.5], ACANRikx55, 6516051]
[contact-info, [558.0, 129.5, 1375.0, 52.5], ACANRikx55, 6516051]
[contact-info, [558.0, 182.0, 1375.0, 52.5], ACANRikx55, 6516051]
[contact-info, [558.0, 234.5, 1375.0, 52.5], ACANRikx55, 6516051]
[section-title, [819.0, 593.0, 798.0, 93.0], Iiukfe10zd, 6516051]
[folio, [214.0, 823.0, 1248.0, 52.5], 95SgLdhTnP, 6516051]
[folio, [214.0, 875.5, 1248.0, 52.5], 95SgLdhTnP, 6516051]
[dateline, [152.0, 1078.0, 509.0, 52.5], kB0NXJSkZI, 6516051]
[dateline, [152.0, 1130.5, 509.0, 52.5], kB0NXJSkZI, 6516051]
[paragraph, [208.0, 1351.0, 282.0, 52.5], JUlealE0ts, 6516051]
[paragraph, [189.0, 1463.0, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [189.0, 1515.5, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [189.0, 1568.0, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [189.0, 1620.5, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [189.0, 1673.0, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [189.0, 1725.5, 2099.0, 52.5], SNnWnylTt9, 6516051]
[paragraph, [198.0, 1839.0, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 1891.5, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 1944.0, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 1996.5, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 2049.0, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 2101.5, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [198.0, 2154.0, 2058.0, 52.5], H8sByY1p95, 6516051]
[paragraph, [176.0, 2302.0, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2354.5, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2407.0, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2459.5, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2512.0, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2564.5, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2617.0, 2111.0, 52.5], gA98x3YriR, 6516051]
[paragraph, [176.0, 2669.5, 2111.0, 52.5], gA98x3YriR, 6516051]
[ordered-list, [257.0, 2771.0, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 2823.5, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 2876.0, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 2928.5, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 2981.0, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 3033.5, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 3086.0, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 3138.5, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 3191.0, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
[ordered-list, [257.0, 3243.5, 2002.0, 52.5], Jj7U5UYYwz, 6516051]
