[792, 612]
[folio, [490.0, 33.0, 56.0, 18.0], shoonya_5sG81F1AMZKHOE, 6514727]
[paragraph, [55.0, 82.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 100.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 118.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 136.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 154.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 172.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 190.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 208.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 226.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 244.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [55.0, 262.0, 166.0, 18.0], shoonya_3sU63JKXELFH7Z, 6514727]
[paragraph, [58.0, 291.0, 160.0, 18.0], shoonya_4sBP3EJRKI9UCL, 6514727]
[paragraph, [57.0, 326.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 344.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 362.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 380.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 398.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 416.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 434.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 452.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 470.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 488.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [57.0, 506.0, 120.0, 18.0], shoonya_9sX0UZZ84MYO2F, 6514727]
[paragraph, [458.0, 378.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 396.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 414.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 432.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 450.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 468.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 486.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 504.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [458.0, 522.0, 102.0, 18.0], shoonya_10sXBAQV1KUAPR, 6514727]
[paragraph, [56.0, 531.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 549.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 567.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 585.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 603.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 621.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 639.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 657.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 675.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[paragraph, [56.0, 693.0, 163.0, 18.0], shoonya_6s7XKWPIFZ9CNU, 6514727]
[sidebar, [223.0, 553.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 571.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 589.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 607.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 625.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 643.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 661.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 679.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 697.0, 165.0, 18.0], omkH55nAF2, 6514727]
[sidebar, [223.0, 715.0, 165.0, 18.0], omkH55nAF2, 6514727]
[paragraph, [391.0, 554.0, 162.0, 18.0], shoonya_2sH8TXSVVJBVKP, 6514727]
[paragraph, [392.0, 578.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 596.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 614.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 632.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 650.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 668.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 686.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 704.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [392.0, 722.0, 163.0, 18.0], shoonya_7sHRIXTGD8K5T7, 6514727]
[paragraph, [56.0, 711.0, 165.0, 18.0], shoonya_1s5MMT9KD9RMWW, 6514727]
[paragraph, [56.0, 729.0, 165.0, 18.0], shoonya_1s5MMT9KD9RMWW, 6514727]
