[1250, 770]
[folio, [274.0, 121.0, 220.0, 18.0], xR3pwVTmCd, 6469211]
[folio, [274.0, 139.0, 220.0, 18.0], xR3pwVTmCd, 6469211]
[paragraph, [62.0, 186.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 204.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 222.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 240.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 258.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 276.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 294.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 312.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 330.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 348.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 366.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 384.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 402.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 420.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 438.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 456.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 474.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 492.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 510.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 528.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 546.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 564.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 582.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 600.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [62.0, 618.0, 643.0, 18.0], shoonya_0sWR2ICMN7TXH7, 6469211]
[paragraph, [59.0, 651.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 669.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 687.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 705.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 723.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 741.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 759.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 777.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 795.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 813.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 831.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 849.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [59.0, 867.0, 645.0, 18.0], 8Wl-8WJrLe, 6469211]
[paragraph, [53.0, 888.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 906.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 924.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 942.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 960.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 978.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 996.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1014.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1032.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1050.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1068.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1086.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1104.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[paragraph, [53.0, 1122.0, 650.0, 18.0], k8y-1HPvAF, 6469211]
[folio, [62.0, 1170.0, 146.0, 18.0], RhIabutZNR, 6469211]
