[792, 612]
[folio, [246.0, 61.0, 97.0, 18.0], b1g5qgFvUX, 6493561]
[paragraph, [87.0, 99.0, 405.0, 18.0], eNn7agFErb, 6493561]
[paragraph, [87.0, 117.0, 405.0, 18.0], eNn7agFErb, 6493561]
[paragraph, [92.0, 147.0, 405.0, 18.0], _yMpYOhL7k, 6493561]
[paragraph, [92.0, 165.0, 405.0, 18.0], _yMpYOhL7k, 6493561]
[paragraph, [89.0, 189.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 207.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 225.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 243.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 261.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 279.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [89.0, 297.0, 410.0, 18.0], OtzrSeemPY, 6493561]
[paragraph, [94.0, 324.0, 406.0, 18.0], 0owsnHhiLG, 6493561]
[paragraph, [94.0, 342.0, 406.0, 18.0], 0owsnHhiLG, 6493561]
[paragraph, [92.0, 365.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 383.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 401.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 419.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 437.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 455.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [92.0, 473.0, 406.0, 18.0], NSx3bLdQ0j, 6493561]
[paragraph, [95.0, 501.0, 407.0, 18.0], TAqgWpQeVC, 6493561]
[paragraph, [95.0, 519.0, 407.0, 18.0], TAqgWpQeVC, 6493561]
[paragraph, [94.0, 546.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 564.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 582.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 600.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 618.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 636.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 654.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 672.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
[paragraph, [94.0, 690.0, 407.0, 18.0], ayzvcwAH0L, 6493561]
