[1320, 1176]
[paragraph, [63.0, 169.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 187.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 205.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 223.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 241.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 259.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[paragraph, [63.0, 277.0, 353.0, 18.0], h_wmmjE0Up, 5694409]
[answer, [416.0, 169.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 187.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 205.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 223.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 241.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 259.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 277.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 295.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 313.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 331.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 349.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 367.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 385.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 403.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 421.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 439.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 457.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 475.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 493.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 511.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 529.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 547.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 565.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 583.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 601.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 619.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 637.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 655.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 673.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 691.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 709.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 727.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 745.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 763.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 781.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 799.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 817.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 835.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 853.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 871.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 889.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 907.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 925.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 943.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 961.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 979.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 997.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1015.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1033.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1051.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1069.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1087.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1105.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1123.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1141.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1159.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1177.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1195.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1213.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1231.0, 338.0, 18.0], kHunoebkWn, 5694409]
[answer, [416.0, 1249.0, 338.0, 18.0], kHunoebkWn, 5694409]
[ordered-list, [420.0, 179.0, 329.0, 18.0], oPFAZ-2wcW, 5694409]
