[2084, 1289]
[folio, [423.0, 268.0, 438.0, 36.0], shoonya_2s6ML5LKQEYI0P, 5660517]
[paragraph, [129.0, 365.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 401.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 437.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 473.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 509.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 545.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 581.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 617.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 653.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 689.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 725.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [129.0, 761.0, 1032.0, 36.0], shoonya_1sYD1PASSWAID6, 5660517]
[paragraph, [131.0, 838.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 874.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 910.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 946.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 982.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1018.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1054.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1090.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1126.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1162.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1198.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1234.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1270.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1306.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1342.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1378.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1414.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1450.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1486.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1522.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1558.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1594.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1630.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1666.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1702.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1738.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1774.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1810.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[paragraph, [131.0, 1846.0, 1031.0, 36.0], shoonya_0s3KL9W1FAK63C, 5660517]
[folio, [633.0, 1937.0, 652.0, 36.0], shoonya_3sYR07OZ98L81T, 5660517]
[folio, [633.0, 1973.0, 652.0, 36.0], shoonya_3sYR07OZ98L81T, 5660517]
