[2200, 1700]
[section-title, [145.0, 188.0, 958.0, 52.5], shoonya_3sDKY8VIXLGB15, 5658974]
[unordered-list, [145.0, 254.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 290.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 326.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 362.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 398.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 434.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 470.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 506.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 542.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 578.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 614.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 650.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 686.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
[unordered-list, [145.0, 722.0, 1383.0, 36.0], shoonya_0sMJ8FKAGN2LTS, 5658974]
