[1806, 1262]
[folio, [167.0, 111.0, 507.0, 36.0], TMNmDU_xne, 5680997]
[paragraph, [101.0, 184.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 220.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 256.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 292.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 328.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 364.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 400.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 436.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 472.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 508.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 544.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 580.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 616.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 652.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 688.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 724.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 760.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 796.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 832.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 868.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 904.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 940.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 976.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 1012.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 1048.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 1084.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
[paragraph, [101.0, 1120.0, 513.0, 36.0], shoonya_2sVBATQXDUDYBT, 5680997]
