[913, 561]
[headline, [77.0, 122.0, 402.0, 25.5], shoonya_1sMDQWSLU47HHM, 5776286]
[headline, [77.0, 147.5, 402.0, 25.5], shoonya_1sMDQWSLU47HHM, 5776286]
[paragraph, [17.0, 196.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 214.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 232.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 250.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 268.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 286.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 304.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 322.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 340.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 358.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 376.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 394.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 412.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 430.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 448.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 466.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 484.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 502.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 520.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 538.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 556.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 574.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 592.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 610.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 628.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 646.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 664.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 682.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 700.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 718.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 736.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 754.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 772.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 790.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 808.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
[paragraph, [17.0, 826.0, 520.0, 18.0], shoonya_0s2YPS1JDVE3CN, 5776286]
