[792, 612]
[folio, [250.0, 65.0, 97.0, 18.0], 2a_oHX6ZOO, 6491549]
[paragraph, [87.0, 98.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 116.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 134.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 152.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 170.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 188.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 206.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 224.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 242.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 260.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 278.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 296.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 314.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 332.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 350.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 368.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 386.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 404.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 422.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 440.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [87.0, 458.0, 418.0, 18.0], 88j9R-xz-v, 6491549]
[paragraph, [86.0, 484.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 502.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 520.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 538.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 556.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 574.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [86.0, 592.0, 410.0, 18.0], AXwFxVVsr-, 6491549]
[paragraph, [85.0, 668.0, 414.0, 18.0], DjQeNtKHnz, 6491549]
[paragraph, [85.0, 686.0, 414.0, 18.0], DjQeNtKHnz, 6491549]
[paragraph, [85.0, 704.0, 414.0, 18.0], DjQeNtKHnz, 6491549]
[paragraph, [85.0, 722.0, 414.0, 18.0], DjQeNtKHnz, 6491549]
