[1839, 1268]
[paragraph, [169.0, 207.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 243.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 279.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 315.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 351.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 387.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 423.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 459.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 495.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 531.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 567.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 603.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 639.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 675.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 711.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 747.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 783.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 819.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 855.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 891.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 927.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 963.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 999.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 1035.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 1071.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 1107.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [169.0, 1143.0, 972.0, 36.0], shoonya_0sH291DHFIROY1, 5744262]
[paragraph, [182.0, 1209.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1245.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1281.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1317.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1353.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1389.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1425.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1461.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1497.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1533.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1569.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
[paragraph, [182.0, 1605.0, 946.0, 36.0], 0BpxPqFEXk, 5744262]
