[2334, 1650]
[paragraph, [299.0, 152.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 188.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 224.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 260.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 296.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 332.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 368.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 404.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 440.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 476.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 512.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [299.0, 548.0, 1158.0, 36.0], shoonya_1sJN8ZIRC3X05D, 5652211]
[paragraph, [309.0, 603.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 639.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 675.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 711.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 747.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 783.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 819.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 855.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 891.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 927.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 963.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 999.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 1035.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [309.0, 1071.0, 1150.0, 36.0], shoonya_0sF8UTEXV32X6Y, 5652211]
[paragraph, [302.0, 1117.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [302.0, 1153.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [302.0, 1189.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [302.0, 1225.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [302.0, 1261.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [302.0, 1297.0, 1167.0, 36.0], shoonya_2sWLKQG6WX4UFK, 5652211]
[paragraph, [351.0, 1346.0, 377.0, 36.0], shoonya_4s484DU2O3RNFC, 5652211]
[paragraph, [297.0, 1401.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [297.0, 1437.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [297.0, 1473.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [297.0, 1509.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [297.0, 1545.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [297.0, 1581.0, 1166.0, 36.0], shoonya_3sZSXUGG6FR409, 5652211]
[paragraph, [290.0, 1632.0, 1173.0, 36.0], shoonya_5s7NOP9LDE6Q4I, 5652211]
[paragraph, [290.0, 1668.0, 1173.0, 36.0], shoonya_5s7NOP9LDE6Q4I, 5652211]
[paragraph, [290.0, 1704.0, 1173.0, 36.0], shoonya_5s7NOP9LDE6Q4I, 5652211]
[paragraph, [294.0, 1750.0, 1166.0, 36.0], shoonya_6s6KUEL8PPBKQ7, 5652211]
[paragraph, [294.0, 1786.0, 1166.0, 36.0], shoonya_6s6KUEL8PPBKQ7, 5652211]
[paragraph, [294.0, 1822.0, 1166.0, 36.0], shoonya_6s6KUEL8PPBKQ7, 5652211]
[paragraph, [293.0, 1868.0, 1169.0, 36.0], shoonya_7sZFG5W3HTXKMR, 5652211]
[paragraph, [293.0, 1904.0, 1169.0, 36.0], shoonya_7sZFG5W3HTXKMR, 5652211]
[paragraph, [293.0, 1940.0, 1169.0, 36.0], shoonya_7sZFG5W3HTXKMR, 5652211]
[paragraph, [293.0, 1976.0, 1169.0, 36.0], shoonya_7sZFG5W3HTXKMR, 5652211]
[folio, [360.0, 2085.0, 365.0, 36.0], shoonya_9s486RCEAC35Z3, 5652211]
