[688, 400]
[folio, [163.0, 18.0, 93.0, 18.0], x7q9jU5M6-, 5748847]
[paragraph, [13.0, 53.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 71.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 89.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 107.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 125.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 143.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 161.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 179.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 197.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 215.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 233.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 251.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 269.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 287.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 305.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 323.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 341.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 359.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 377.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 395.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 413.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 431.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 449.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 467.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [13.0, 485.0, 376.0, 18.0], shoonya_0sA3DXKUKEEIOK, 5748847]
[paragraph, [11.0, 505.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 523.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 541.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 559.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 577.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 595.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[paragraph, [11.0, 613.0, 374.0, 18.0], shoonya_1sC0KXRBMJQ3SY, 5748847]
[footnote, [86.0, 650.0, 259.0, 18.0], gbXCamsyx8, 5748847]
