[1754, 1241]
[folio, [888.0, 110.0, 207.0, 36.0], z29D_yIeo_, 5746891]
[paragraph, [152.0, 157.0, 949.0, 36.0], shoonya_1s5T11PDXH1IVC, 5746891]
[paragraph, [152.0, 193.0, 949.0, 36.0], shoonya_1s5T11PDXH1IVC, 5746891]
[paragraph, [152.0, 298.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 334.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 370.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 406.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 442.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 478.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 514.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [152.0, 550.0, 963.0, 36.0], SZVz1Fm7GS, 5746891]
[paragraph, [141.0, 675.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 711.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 747.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 783.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 819.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 855.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 891.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 927.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 963.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 999.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [141.0, 1035.0, 964.0, 36.0], 498bUj4--5, 5746891]
[paragraph, [152.0, 1143.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1179.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1215.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1251.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1287.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1323.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1359.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1395.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1431.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
[paragraph, [152.0, 1467.0, 955.0, 36.0], SBEzd2-xOZ, 5746891]
