[2028, 1441]
[section-title, [183.0, 145.0, 894.0, 52.5], RK7TeAe4mB, 5652376]
[paragraph, [179.0, 257.0, 1115.0, 36.0], BcH8PrZw9_, 5652376]
[paragraph, [179.0, 293.0, 1115.0, 36.0], BcH8PrZw9_, 5652376]
[paragraph, [179.0, 329.0, 1115.0, 36.0], BcH8PrZw9_, 5652376]
[paragraph, [167.0, 413.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 449.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 485.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 521.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 557.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 593.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 629.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 665.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[paragraph, [167.0, 701.0, 1126.0, 36.0], shoonya_0s778N6NCBJ987, 5652376]
[ordered-list, [235.0, 762.0, 264.0, 36.0], 6lWPsBrJ_U, 5652376]
[ordered-list, [235.0, 798.0, 264.0, 36.0], 6lWPsBrJ_U, 5652376]
[ordered-list, [235.0, 834.0, 264.0, 36.0], 6lWPsBrJ_U, 5652376]
[paragraph, [177.0, 914.0, 1103.0, 36.0], shoonya_6sZ72DHASSIEUW, 5652376]
[paragraph, [177.0, 950.0, 1103.0, 36.0], shoonya_6sZ72DHASSIEUW, 5652376]
[paragraph, [177.0, 986.0, 1103.0, 36.0], shoonya_6sZ72DHASSIEUW, 5652376]
[paragraph, [177.0, 1022.0, 1103.0, 36.0], shoonya_6sZ72DHASSIEUW, 5652376]
[paragraph, [177.0, 1058.0, 1103.0, 36.0], shoonya_6sZ72DHASSIEUW, 5652376]
[paragraph, [178.0, 1139.0, 1113.0, 36.0], gR2IwiH-VH, 5652376]
[paragraph, [178.0, 1175.0, 1113.0, 36.0], gR2IwiH-VH, 5652376]
[paragraph, [178.0, 1211.0, 1113.0, 36.0], gR2IwiH-VH, 5652376]
[paragraph, [161.0, 1301.0, 1111.0, 36.0], shoonya_4sMUKE7HJ0FW9H, 5652376]
[paragraph, [161.0, 1337.0, 1111.0, 36.0], shoonya_4sMUKE7HJ0FW9H, 5652376]
[paragraph, [161.0, 1373.0, 1111.0, 36.0], shoonya_4sMUKE7HJ0FW9H, 5652376]
[paragraph, [161.0, 1409.0, 1111.0, 36.0], shoonya_4sMUKE7HJ0FW9H, 5652376]
[paragraph, [161.0, 1445.0, 1111.0, 36.0], shoonya_4sMUKE7HJ0FW9H, 5652376]
[footnote, [190.0, 1813.0, 617.0, 36.0], BQckE6KB3h, 5652376]
[reference, [206.0, 1866.0, 1086.0, 36.0], puFv7wA29_, 5652376]
[reference, [206.0, 1902.0, 1086.0, 36.0], puFv7wA29_, 5652376]
