[2484, 1767]
[paragraph, [346.0, 413.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 449.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 485.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 521.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 557.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 593.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 629.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 665.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 701.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 737.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 773.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 809.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 845.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 881.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 917.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 953.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 989.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1025.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1061.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1097.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1133.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1169.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1205.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1241.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1277.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1313.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1349.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1385.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1421.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1457.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1493.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1529.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1565.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1601.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1637.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1673.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1709.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1745.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1781.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1817.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1853.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1889.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1925.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1961.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 1997.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2033.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2069.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2105.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2141.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2177.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
[paragraph, [346.0, 2213.0, 1266.0, 36.0], shoonya_0sRQURZB1GLTC2, 5754073]
