[792, 632]
[chapter-title, [251.0, 141.0, 212.0, 30.0], shoonya_0sUZ84S00DJ52A, 6459979]
[paragraph, [191.0, 187.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 205.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 223.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 241.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 259.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 277.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 295.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 313.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 331.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 349.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [191.0, 367.0, 337.0, 18.0], shoonya_1sK7IMD3M54KQO, 6459979]
[paragraph, [212.0, 392.0, 273.0, 18.0], shoonya_2sV3IDAZO3F01O, 6459979]
[paragraph, [212.0, 410.0, 273.0, 18.0], shoonya_2sV3IDAZO3F01O, 6459979]
[paragraph, [198.0, 437.0, 321.0, 18.0], fYPQVcCfqW, 6459979]
[paragraph, [198.0, 455.0, 321.0, 18.0], fYPQVcCfqW, 6459979]
[paragraph, [198.0, 473.0, 321.0, 18.0], fYPQVcCfqW, 6459979]
[paragraph, [198.0, 491.0, 321.0, 18.0], fYPQVcCfqW, 6459979]
[paragraph, [198.0, 509.0, 321.0, 18.0], fYPQVcCfqW, 6459979]
[paragraph, [205.0, 540.0, 314.0, 18.0], tHDqdNu2pn, 6459979]
[paragraph, [205.0, 558.0, 314.0, 18.0], tHDqdNu2pn, 6459979]
[paragraph, [197.0, 588.0, 329.0, 18.0], yffAKCr2qv, 6459979]
[paragraph, [197.0, 606.0, 329.0, 18.0], yffAKCr2qv, 6459979]
