[849, 604]
[headline, [267.0, 53.0, 69.0, 25.5], MWlTpejD1O, 5757040]
[sub-headline, [250.0, 75.0, 109.0, 25.5], B_csmTrxoA, 5757040]
[paragraph, [410.0, 106.0, 129.0, 18.0], pGgetEA22n, 5757040]
[paragraph, [63.0, 107.0, 80.0, 18.0], 6y-_gTVR7e, 5757040]
[paragraph, [63.0, 124.0, 73.0, 18.0], EjqCf15iqH, 5757040]
[paragraph, [407.0, 124.0, 138.0, 18.0], q7yIaUjxKe, 5757040]
[paragraph, [408.0, 146.0, 136.0, 18.0], qjgjpCZuaB, 5757040]
[sub-section-title, [272.0, 172.0, 62.0, 25.5], tVjy3TTl6F, 5757040]
[ordered-list, [64.0, 201.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 219.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 237.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 255.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 273.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 291.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 309.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 327.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 345.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 363.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 381.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 399.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 417.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 435.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 453.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 471.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 489.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 507.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 525.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 543.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 561.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 579.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 597.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 615.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 633.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 651.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 669.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 687.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 705.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
[ordered-list, [64.0, 723.0, 485.0, 18.0], shoonya_0sRNNQTNU3W2A1, 5757040]
