[1754, 1241]
[answer, [161.0, 198.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 234.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 270.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 306.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 342.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 378.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 414.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [161.0, 450.0, 434.0, 36.0], _6_clzdpm4, 5715888]
[answer, [684.0, 296.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 332.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 368.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 404.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 440.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 476.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 512.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 548.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 584.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 620.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 656.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 692.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [684.0, 728.0, 439.0, 36.0], JvFd8frRkc, 5715888]
[answer, [139.0, 559.0, 312.0, 36.0], 8-9dxsr-ft, 5715888]
[answer, [153.0, 706.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [153.0, 742.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [153.0, 778.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [153.0, 814.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [153.0, 850.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [153.0, 886.0, 420.0, 36.0], jB3LpHNmgJ, 5715888]
[answer, [688.0, 846.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 882.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 918.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 954.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 990.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 1026.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [688.0, 1062.0, 424.0, 36.0], FNbRYnuK5_, 5715888]
[answer, [153.0, 1009.0, 451.0, 36.0], KuPfprVThm, 5715888]
[answer, [153.0, 1045.0, 451.0, 36.0], KuPfprVThm, 5715888]
[answer, [153.0, 1081.0, 451.0, 36.0], KuPfprVThm, 5715888]
[answer, [153.0, 1117.0, 451.0, 36.0], KuPfprVThm, 5715888]
[answer, [153.0, 1153.0, 451.0, 36.0], KuPfprVThm, 5715888]
[answer, [677.0, 1173.0, 416.0, 36.0], 3GUzXJacPF, 5715888]
[answer, [677.0, 1209.0, 416.0, 36.0], 3GUzXJacPF, 5715888]
[answer, [664.0, 1284.0, 323.0, 36.0], 7lFrZqV5O4, 5715888]
[answer, [152.0, 1300.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1336.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1372.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1408.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1444.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1480.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [152.0, 1516.0, 455.0, 36.0], e8IjTcJp4u, 5715888]
[answer, [688.0, 1423.0, 455.0, 36.0], Zq0D-nOK3y, 5715888]
[answer, [688.0, 1459.0, 455.0, 36.0], Zq0D-nOK3y, 5715888]
[answer, [688.0, 1495.0, 455.0, 36.0], Zq0D-nOK3y, 5715888]
[answer, [688.0, 1531.0, 455.0, 36.0], Zq0D-nOK3y, 5715888]
