[2339, 1653]
[paragraph, [249.0, 243.0, 1153.0, 36.0], shoonya_1sUCILBH2EPXZ5, 5687374]
[paragraph, [249.0, 279.0, 1153.0, 36.0], shoonya_1sUCILBH2EPXZ5, 5687374]
[paragraph, [249.0, 315.0, 1153.0, 36.0], shoonya_1sUCILBH2EPXZ5, 5687374]
[paragraph, [446.0, 390.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 426.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 462.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 498.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 534.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 570.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 606.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 642.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 678.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 714.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 750.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[paragraph, [446.0, 786.0, 516.0, 36.0], iEiUwmVD9n, 5687374]
[reference, [743.0, 863.0, 204.0, 36.0], 2WqvUjiWXm, 5687374]
[paragraph, [435.0, 869.0, 301.0, 36.0], DnU8OaMdNe, 5687374]
[section-title, [250.0, 1003.0, 477.0, 52.5], shoonya_2sNKOPSO048738, 5687374]
[paragraph, [248.0, 1072.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1108.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1144.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1180.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1216.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1252.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1288.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1324.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1360.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1396.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1432.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1468.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1504.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1540.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1576.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1612.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1648.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1684.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [248.0, 1720.0, 1155.0, 36.0], shoonya_0sMTK74740ONIF, 5687374]
[paragraph, [447.0, 1774.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1810.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1846.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1882.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1918.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1954.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 1990.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
[paragraph, [447.0, 2026.0, 393.0, 36.0], shoonya_5sT3GF1GS9HQ6O, 5687374]
