[612, 396]
[folio, [77.0, 34.0, 77.0, 18.0], t5OmPyeMQr, 6514397]
[paragraph, [40.0, 59.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 77.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 95.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 113.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 131.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 149.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 167.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 185.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 203.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 221.0, 315.0, 18.0], shoonya_0s3LZTZDI2SIA8, 6514397]
[paragraph, [40.0, 268.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 286.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 304.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 322.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 340.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 358.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 376.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 394.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 412.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 430.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 448.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 466.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 484.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 502.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 520.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
[paragraph, [40.0, 538.0, 315.0, 18.0], shoonya_1sNECN6OB9PLOK, 6514397]
