[1806, 1262]
[folio, [160.0, 100.0, 513.0, 36.0], shoonya_6sHZJEBM9QUAUW, 5680704]
[paragraph, [649.0, 181.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 217.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 253.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 289.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 325.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 361.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 397.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [649.0, 433.0, 506.0, 36.0], shoonya_2sR4WD86FD3AQH, 5680704]
[paragraph, [99.0, 184.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 220.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 256.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 292.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 328.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 364.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 400.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [99.0, 436.0, 508.0, 36.0], shoonya_3sPZ7ESDW3AX2B, 5680704]
[paragraph, [106.0, 474.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [106.0, 510.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [106.0, 546.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [106.0, 582.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [106.0, 618.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [106.0, 654.0, 499.0, 36.0], shoonya_0sOTM0X02DO6I3, 5680704]
[paragraph, [652.0, 481.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 517.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 553.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 589.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 625.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 661.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 697.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 733.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 769.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 805.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 841.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 877.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 913.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [652.0, 949.0, 500.0, 36.0], shoonya_1sPB7JYS8CLFM3, 5680704]
[paragraph, [107.0, 693.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 729.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 765.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 801.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 837.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 873.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 909.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 945.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 981.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1017.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1053.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1089.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1125.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1161.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1197.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1233.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1269.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1305.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1341.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1377.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1413.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1449.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1485.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1521.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1557.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1593.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1629.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [107.0, 1665.0, 502.0, 36.0], PAzJoxM_YH, 5680704]
[paragraph, [654.0, 988.0, 503.0, 36.0], shoonya_4s7H0U66SGTYBM, 5680704]
[paragraph, [654.0, 1024.0, 503.0, 36.0], shoonya_4s7H0U66SGTYBM, 5680704]
[paragraph, [654.0, 1060.0, 503.0, 36.0], shoonya_4s7H0U66SGTYBM, 5680704]
[paragraph, [654.0, 1096.0, 503.0, 36.0], shoonya_4s7H0U66SGTYBM, 5680704]
